PARAM	PAIRS	METHOD	TP	FP	FN	TN
CC06	40R6_90R6	genome	2720	825	67	103080
CC06	40R9_100R9_120R9	cluster	1848	1689	939	102216
CC06	40R9_100R9_120R9	subcluster	2167	1497	620	102408
CC06	40R9_100R9_120R9	mash90	2224	1512	563	102393
CC06	40R9_100R9_120R9	mash95	2490	1621	297	102284
CC06	40R9_100R9_120R9	genome	2719	956	68	102949
CC06	40R9_100R9	cluster	1940	1706	847	102199
CC06	40R9_100R9	subcluster	2224	1744	563	102161
CC06	40R9_100R9	mash90	2259	1733	528	102172
CC06	40R9_100R9	mash95	2491	1593	296	102312
CC06	40R9_100R9	genome	2729	988	58	102917
CC06	40R9_120R9	cluster	1716	1724	1071	102181
CC06	40R9_120R9	subcluster	2139	1741	648	102164
CC06	40R9_120R9	mash90	2220	1730	567	102175
CC06	40R9_120R9	mash95	2447	1625	340	102280
CC06	40R9_120R9	genome	2722	977	65	102928
CC06	40R9_50R9	cluster	1821	1909	966	101996
CC06	40R9_50R9	subcluster	2224	2172	563	101733
CC06	40R9_50R9	mash90	2189	2134	598	101771
CC06	40R9_50R9	mash95	2510	2071	277	101834
CC06	40R9_50R9	genome	2715	1115	72	102790
CC06	40R9_60R9_100R9	cluster	1992	1682	795	102223
CC06	40R9_60R9_100R9	subcluster	2241	1629	546	102276
CC06	40R9_60R9_100R9	mash90	2178	1629	609	102276
CC06	40R9_60R9_100R9	mash95	2336	1577	451	102328
CC06	40R9_60R9_100R9	genome	2720	931	67	102974
CC06	40R9_60R9_120R9	cluster	1853	1810	934	102095
CC06	40R9_60R9_120R9	subcluster	2206	1727	581	102178
CC06	40R9_60R9_120R9	mash90	2236	1702	551	102203
CC06	40R9_60R9_120R9	mash95	2399	1635	388	102270
CC06	40R9_60R9_120R9	genome	2719	956	68	102949
CC06	40R9_60R9_80R9	cluster	1885	1840	902	102065
CC06	40R9_60R9_80R9	subcluster	2191	1775	596	102130
CC06	40R9_60R9_80R9	mash90	2232	1715	555	102190
CC06	40R9_60R9_80R9	mash95	2426	1737	361	102168
CC06	40R9_60R9_80R9	genome	2714	966	73	102939
CC06	40R9_60R9_90R9	cluster	1861	1768	926	102137
CC06	40R9_60R9_90R9	subcluster	2272	1710	515	102195
CC06	40R9_60R9_90R9	mash90	2243	1709	544	102196
CC06	40R9_60R9_90R9	mash95	2416	1606	371	102299
CC06	40R9_60R9_90R9	genome	2712	983	75	102922
CC06	40R9_60R9	cluster	1884	2001	903	101904
CC06	40R9_60R9	subcluster	2224	1959	563	101946
CC06	40R9_60R9	mash90	2246	1916	541	101989
CC06	40R9_60R9	mash95	2388	1839	399	102066
CC06	40R9_60R9	genome	2716	1027	71	102878
CC06	40R9_70R9_100R9	cluster	1910	1765	877	102140
CC06	40R9_70R9_100R9	subcluster	2221	1749	566	102156
CC06	40R9_70R9_100R9	mash90	2223	1744	564	102161
CC06	40R9_70R9_100R9	mash95	2423	1685	364	102220
CC06	40R9_70R9_100R9	genome	2722	942	65	102963
CC06	40R9_70R9_120R9	cluster	1737	1690	1050	102215
CC06	40R9_70R9_120R9	subcluster	2071	1628	716	102277
CC06	40R9_70R9_120R9	mash90	2117	1601	670	102304
CC06	40R9_70R9_120R9	mash95	2453	1486	334	102419
CC06	40R9_70R9_120R9	genome	2714	945	73	102960
CC06	40R9_70R9_90R9	cluster	1824	1674	963	102231
CC06	40R9_70R9_90R9	subcluster	2176	1766	611	102139
CC06	40R9_70R9_90R9	mash90	2145	1781	642	102124
CC06	40R9_70R9_90R9	mash95	2349	1669	438	102236
CC06	40R9_70R9_90R9	genome	2715	954	72	102951
CC06	40R9_70R9	cluster	1734	1818	1053	102087
CC06	40R9_70R9	subcluster	2162	1952	625	101953
CC06	40R9_70R9	mash90	2226	1964	561	101941
CC06	40R9_70R9	mash95	2555	1837	232	102068
CC06	40R9_70R9	genome	2714	1033	73	102872
CC06	40R9_80R9_100R9	cluster	1871	1742	916	102163
CC06	40R9_80R9_100R9	subcluster	2134	1621	653	102284
CC06	40R9_80R9_100R9	mash90	2178	1623	609	102282
CC06	40R9_80R9_100R9	mash95	2490	1555	297	102350
CC06	40R9_80R9_100R9	genome	2724	903	63	103002
CC06	40R9_80R9_120R9	cluster	1892	1689	895	102216
CC06	40R9_80R9_120R9	subcluster	2249	1684	538	102221
CC06	40R9_80R9_120R9	mash90	2296	1673	491	102232
CC06	40R9_80R9_120R9	mash95	2461	1672	326	102233
CC06	40R9_80R9_120R9	genome	2717	966	70	102939
CC06	40R9_80R9	cluster	1891	1838	896	102067
CC06	40R9_80R9	subcluster	2164	1964	623	101941
CC06	40R9_80R9	mash90	2178	1934	609	101971
CC06	40R9_80R9	mash95	2484	1852	303	102053
CC06	40R9_80R9	genome	2720	997	67	102908
CC06	40R9_90R9_120R9	cluster	1814	1725	973	102180
CC06	40R9_90R9_120R9	subcluster	2208	1567	579	102338
CC06	40R9_90R9_120R9	mash90	2180	1573	607	102332
CC06	40R9_90R9_120R9	mash95	2335	1471	452	102434
CC06	40R9_90R9_120R9	genome	2716	958	71	102947
CC06	40R9_90R9	cluster	1775	1820	1012	102085
CC06	40R9_90R9	subcluster	2140	1691	647	102214
CC06	40R9_90R9	mash90	2162	1647	625	102258
CC06	40R9_90R9	mash95	2375	1568	412	102337
CC06	40R9_90R9	genome	2721	953	66	102952
CC06	50R0_100R0_120R0	cluster	2011	1513	776	102392
CC06	50R0_100R0_120R0	subcluster	2403	1524	384	102381
CC06	50R0_100R0_120R0	mash90	2414	1541	373	102364
CC06	50R0_100R0_120R0	mash95	2582	1485	205	102420
CC06	50R0_100R0_120R0	genome	2730	877	57	103028
CC06	50R0_100R0	cluster	1907	1719	880	102186
CC06	50R0_100R0	subcluster	2341	1725	446	102180
CC06	50R0_100R0	mash90	2344	1741	443	102164
CC06	50R0_100R0	mash95	2564	1581	223	102324
CC06	50R0_100R0	genome	2722	959	65	102946
CC06	50R0_120R0	cluster	2041	1588	746	102317
CC06	50R0_120R0	subcluster	2442	1596	345	102309
CC06	50R0_120R0	mash90	2445	1586	342	102319
CC06	50R0_120R0	mash95	2581	1503	206	102402
CC06	50R0_120R0	genome	2727	882	60	103023
CC06	50R0_60R0	cluster	1877	1672	910	102233
CC06	50R0_60R0	subcluster	2395	1907	392	101998
CC06	50R0_60R0	mash90	2487	1904	300	102001
CC06	50R0_60R0	mash95	2590	1855	197	102050
CC06	50R0_60R0	genome	2713	1055	74	102850
CC06	50R0_70R0_100R0	cluster	1873	1437	914	102468
CC06	50R0_70R0_100R0	subcluster	2316	1466	471	102439
CC06	50R0_70R0_100R0	mash90	2317	1489	470	102416
CC06	50R0_70R0_100R0	mash95	2546	1569	241	102336
CC06	50R0_70R0_100R0	genome	2718	936	69	102969
CC06	50R0_70R0_120R0	cluster	2021	1404	766	102501
CC06	50R0_70R0_120R0	subcluster	2385	1422	402	102483
CC06	50R0_70R0_120R0	mash90	2398	1424	389	102481
CC06	50R0_70R0_120R0	mash95	2577	1365	210	102540
CC06	50R0_70R0_120R0	genome	2721	854	66	103051
CC06	50R0_70R0_90R0	cluster	1883	1596	904	102309
CC06	50R0_70R0_90R0	subcluster	2218	1572	569	102333
CC06	50R0_70R0_90R0	mash90	2266	1567	521	102338
CC06	50R0_70R0_90R0	mash95	2596	1475	191	102430
CC06	50R0_70R0_90R0	genome	2715	982	72	102923
CC06	50R0_70R0	cluster	1913	1723	874	102182
CC06	50R0_70R0	subcluster	2361	1726	426	102179
CC06	50R0_70R0	mash90	2456	1777	331	102128
CC06	50R0_70R0	mash95	2582	1674	205	102231
CC06	50R0_70R0	genome	2711	1015	76	102890
CC06	50R0_80R0_100R0	cluster	1916	1602	871	102303
CC06	50R0_80R0_100R0	subcluster	2274	1606	513	102299
CC06	50R0_80R0_100R0	mash90	2265	1623	522	102282
CC06	50R0_80R0_100R0	mash95	2475	1567	312	102338
CC06	50R0_80R0_100R0	genome	2719	928	68	102977
CC06	50R0_80R0_120R0	cluster	2032	1529	755	102376
CC06	50R0_80R0_120R0	subcluster	2422	1555	365	102350
CC06	50R0_80R0_120R0	mash90	2391	1534	396	102371
CC06	50R0_80R0_120R0	mash95	2613	1509	174	102396
CC06	50R0_80R0_120R0	genome	2724	869	63	103036
CC06	50R0_80R0	cluster	1844	1673	943	102232
CC06	50R0_80R0	subcluster	2358	1785	429	102120
CC06	50R0_80R0	mash90	2396	1778	391	102127
CC06	50R0_80R0	mash95	2595	1704	192	102201
CC06	50R0_80R0	genome	2715	974	72	102931
CC06	50R0_90R0_120R0	cluster	2059	1450	728	102455
CC06	50R0_90R0_120R0	subcluster	2460	1417	327	102488
CC06	50R0_90R0_120R0	mash90	2433	1432	354	102473
CC06	50R0_90R0_120R0	mash95	2616	1391	171	102514
CC06	50R0_90R0_120R0	genome	2725	846	62	103059
CC06	50R0_90R0	cluster	1719	1594	1068	102311
CC06	50R0_90R0	subcluster	2231	1703	556	102202
CC06	50R0_90R0	mash90	2276	1684	511	102221
CC06	50R0_90R0	mash95	2607	1566	180	102339
CC06	50R0_90R0	genome	2719	1005	68	102900
CC06	50R12_100R12_120R12	cluster	1724	1771	1063	102134
CC06	50R12_100R12_120R12	subcluster	2191	1740	596	102165
CC06	50R12_100R12_120R12	mash90	2140	1742	647	102163
CC06	50R12_100R12_120R12	mash95	2354	1714	433	102191
CC06	50R12_100R12_120R12	genome	2707	1123	80	102782
CC06	50R12_100R12	cluster	1833	1908	954	101997
CC06	50R12_100R12	subcluster	2148	1891	639	102014
CC06	50R12_100R12	mash90	2189	1856	598	102049
CC06	50R12_100R12	mash95	2353	1900	434	102005
CC06	50R12_100R12	genome	2715	1194	72	102711
CC06	50R12_120R12	cluster	1601	2029	1186	101876
CC06	50R12_120R12	subcluster	2139	1898	648	102007
CC06	50R12_120R12	mash90	2157	1916	630	101989
CC06	50R12_120R12	mash95	2358	1944	429	101961
CC06	50R12_120R12	genome	2706	1077	81	102828
CC06	50R12_60R12	cluster	1682	2340	1105	101565
CC06	50R12_60R12	subcluster	2151	2330	636	101575
CC06	50R12_60R12	mash90	2110	2395	677	101510
CC06	50R12_60R12	mash95	2382	2397	405	101508
CC06	50R12_60R12	genome	2711	1225	76	102680
CC06	50R12_70R12_100R12	cluster	1840	1568	947	102337
CC06	50R12_70R12_100R12	subcluster	2135	1576	652	102329
CC06	50R12_70R12_100R12	mash90	2167	1576	620	102329
CC06	50R12_70R12_100R12	mash95	2338	1590	449	102315
CC06	50R12_70R12_100R12	genome	2711	866	76	103039
CC06	50R12_70R12_120R12	cluster	1645	1702	1142	102203
CC06	50R12_70R12_120R12	subcluster	2124	1624	663	102281
CC06	50R12_70R12_120R12	mash90	2124	1601	663	102304
CC06	50R12_70R12_120R12	mash95	2352	1675	435	102230
CC06	50R12_70R12_120R12	genome	2699	966	88	102939
CC06	50R12_70R12_90R12	cluster	1771	1664	1016	102241
CC06	50R12_70R12_90R12	subcluster	2103	1589	684	102316
CC06	50R12_70R12_90R12	mash90	2026	1578	761	102327
CC06	50R12_70R12_90R12	mash95	2332	1544	455	102361
CC06	50R12_70R12_90R12	genome	2705	894	82	103011
CC06	50R12_70R12	cluster	1584	1955	1203	101950
CC06	50R12_70R12	subcluster	2075	1962	712	101943
CC06	50R12_70R12	mash90	2011	1965	776	101940
CC06	50R12_70R12	mash95	2319	1873	468	102032
CC06	50R12_70R12	genome	2708	938	79	102967
CC06	50R12_80R12_100R12	cluster	1837	1725	950	102180
CC06	50R12_80R12_100R12	subcluster	2242	1754	545	102151
CC06	50R12_80R12_100R12	mash90	2149	1724	638	102181
CC06	50R12_80R12_100R12	mash95	2374	1728	413	102177
CC06	50R12_80R12_100R12	genome	2712	1110	75	102795
CC06	50R12_80R12_120R12	cluster	1733	1807	1054	102098
CC06	50R12_80R12_120R12	subcluster	2113	1789	674	102116
CC06	50R12_80R12_120R12	mash90	2146	1751	641	102154
CC06	50R12_80R12_120R12	mash95	2340	1726	447	102179
CC06	50R12_80R12_120R12	genome	2698	1005	89	102900
CC06	50R12_80R12	cluster	1800	2125	987	101780
CC06	50R12_80R12	subcluster	2216	2160	571	101745
CC06	50R12_80R12	mash90	2145	2128	642	101777
CC06	50R12_80R12	mash95	2374	2033	413	101872
CC06	50R12_80R12	genome	2714	1156	73	102749
CC06	50R12_90R12_120R12	cluster	1623	1594	1164	102311
CC06	50R12_90R12_120R12	subcluster	2157	1612	630	102293
CC06	50R12_90R12_120R12	mash90	2118	1598	669	102307
CC06	50R12_90R12_120R12	mash95	2333	1542	454	102363
CC06	50R12_90R12_120R12	genome	2707	922	80	102983
CC06	50R12_90R12	cluster	1795	1971	992	101934
CC06	50R12_90R12	subcluster	2115	1964	672	101941
CC06	50R12_90R12	mash90	2061	1944	726	101961
CC06	50R12_90R12	mash95	2309	1901	478	102004
CC06	50R12_90R12	genome	2712	1211	75	102694
CC06	50R15_100R15_120R15	cluster	1647	1739	1140	102166
CC06	50R15_100R15_120R15	subcluster	2178	1678	609	102227
CC06	50R15_100R15_120R15	mash90	2177	1693	610	102212
CC06	50R15_100R15_120R15	mash95	2305	1688	482	102217
CC06	50R15_100R15_120R15	genome	2717	1006	70	102899
CC06	50R15_100R15	cluster	2057	1798	730	102107
CC06	50R15_100R15	subcluster	2259	1776	528	102129
CC06	50R15_100R15	mash90	2280	1747	507	102158
CC06	50R15_100R15	mash95	2428	1615	359	102290
CC06	50R15_100R15	genome	2718	958	69	102947
CC06	50R15_120R15	cluster	1663	1777	1124	102128
CC06	50R15_120R15	subcluster	2193	1816	594	102089
CC06	50R15_120R15	mash90	2259	1817	528	102088
CC06	50R15_120R15	mash95	2368	1813	419	102092
CC06	50R15_120R15	genome	2710	1117	77	102788
CC06	50R15_60R15	cluster	1868	2244	919	101661
CC06	50R15_60R15	subcluster	2107	2010	680	101895
CC06	50R15_60R15	mash90	2144	2039	643	101866
CC06	50R15_60R15	mash95	2322	1991	465	101914
CC06	50R15_60R15	genome	2702	1119	85	102786
CC06	50R15_70R15_100R15	cluster	1868	1546	919	102359
CC06	50R15_70R15_100R15	subcluster	2132	1513	655	102392
CC06	50R15_70R15_100R15	mash90	2128	1522	659	102383
CC06	50R15_70R15_100R15	mash95	2356	1454	431	102451
CC06	50R15_70R15_100R15	genome	2714	888	73	103017
CC06	50R15_70R15_120R15	cluster	1622	1586	1165	102319
CC06	50R15_70R15_120R15	subcluster	2110	1577	677	102328
CC06	50R15_70R15_120R15	mash90	2188	1590	599	102315
CC06	50R15_70R15_120R15	mash95	2317	1463	470	102442
CC06	50R15_70R15_120R15	genome	2707	925	80	102980
CC06	50R15_70R15_90R15	cluster	1711	1656	1076	102249
CC06	50R15_70R15_90R15	subcluster	2112	1657	675	102248
CC06	50R15_70R15_90R15	mash90	2094	1648	693	102257
CC06	50R15_70R15_90R15	mash95	2250	1608	537	102297
CC06	50R15_70R15_90R15	genome	2710	928	77	102977
CC06	50R15_70R15	cluster	1752	2085	1035	101820
CC06	50R15_70R15	subcluster	2124	1887	663	102018
CC06	50R15_70R15	mash90	2169	1871	618	102034
CC06	50R15_70R15	mash95	2344	1937	443	101968
CC06	50R15_70R15	genome	2713	1007	74	102898
CC06	50R15_80R15_100R15	cluster	1926	1637	861	102268
CC06	50R15_80R15_100R15	subcluster	2253	1716	534	102189
CC06	50R15_80R15_100R15	mash90	2237	1721	550	102184
CC06	50R15_80R15_100R15	mash95	2393	1633	394	102272
CC06	50R15_80R15_100R15	genome	2713	1018	74	102887
CC06	50R15_80R15_120R15	cluster	1632	1685	1155	102220
CC06	50R15_80R15_120R15	subcluster	2176	1542	611	102363
CC06	50R15_80R15_120R15	mash90	2168	1541	619	102364
CC06	50R15_80R15_120R15	mash95	2330	1608	457	102297
CC06	50R15_80R15_120R15	genome	2708	933	79	102972
CC06	50R15_80R15	cluster	1786	1933	1001	101972
CC06	50R15_80R15	subcluster	2095	1984	692	101921
CC06	50R15_80R15	mash90	2128	1932	659	101973
CC06	50R15_80R15	mash95	2306	1793	481	102112
CC06	50R15_80R15	genome	2713	1068	74	102837
CC06	50R15_90R15_120R15	cluster	1744	1707	1043	102198
CC06	50R15_90R15_120R15	subcluster	2220	1645	567	102260
CC06	50R15_90R15_120R15	mash90	2210	1645	577	102260
CC06	50R15_90R15_120R15	mash95	2354	1746	433	102159
CC06	50R15_90R15_120R15	genome	2707	1031	80	102874
CC06	50R15_90R15	cluster	1737	1805	1050	102100
CC06	50R15_90R15	subcluster	2146	1839	641	102066
CC06	50R15_90R15	mash90	2164	1841	623	102064
CC06	50R15_90R15	mash95	2303	1795	484	102110
CC06	50R15_90R15	genome	2711	1069	76	102836
CC06	50R3_100R3_120R3	cluster	1863	1253	924	102652
CC06	50R3_100R3_120R3	subcluster	2298	1279	489	102626
CC06	50R3_100R3_120R3	mash90	2304	1284	483	102621
CC06	50R3_100R3_120R3	mash95	2540	1304	247	102601
CC06	50R3_100R3_120R3	genome	2726	725	61	103180
CC06	50R3_100R3	cluster	1801	1427	986	102478
CC06	50R3_100R3	subcluster	2199	1359	588	102546
CC06	50R3_100R3	mash90	2264	1351	523	102554
CC06	50R3_100R3	mash95	2542	1355	245	102550
CC06	50R3_100R3	genome	2716	880	71	103025
CC06	50R3_120R3	cluster	1889	1287	898	102618
CC06	50R3_120R3	subcluster	2317	1362	470	102543
CC06	50R3_120R3	mash90	2292	1332	495	102573
CC06	50R3_120R3	mash95	2505	1257	282	102648
CC06	50R3_120R3	genome	2725	752	62	103153
CC06	50R3_60R3	cluster	1745	1721	1042	102184
CC06	50R3_60R3	subcluster	2328	1735	459	102170
CC06	50R3_60R3	mash90	2369	1721	418	102184
CC06	50R3_60R3	mash95	2578	1665	209	102240
CC06	50R3_60R3	genome	2713	1053	74	102852
CC06	50R3_70R3_100R3	cluster	1703	1229	1084	102676
CC06	50R3_70R3_100R3	subcluster	2117	1143	670	102762
CC06	50R3_70R3_100R3	mash90	2208	1155	579	102750
CC06	50R3_70R3_100R3	mash95	2560	1124	227	102781
CC06	50R3_70R3_100R3	genome	2720	716	67	103189
CC06	50R3_70R3_120R3	cluster	1933	1237	854	102668
CC06	50R3_70R3_120R3	subcluster	2265	1180	522	102725
CC06	50R3_70R3_120R3	mash90	2263	1171	524	102734
CC06	50R3_70R3_120R3	mash95	2505	1172	282	102733
CC06	50R3_70R3_120R3	genome	2725	716	62	103189
CC06	50R3_70R3_90R3	cluster	1659	1179	1128	102726
CC06	50R3_70R3_90R3	subcluster	2329	1181	458	102724
CC06	50R3_70R3_90R3	mash90	2317	1249	470	102656
CC06	50R3_70R3_90R3	mash95	2556	1216	231	102689
CC06	50R3_70R3_90R3	genome	2721	762	66	103143
CC06	50R3_70R3	cluster	1849	1534	938	102371
CC06	50R3_70R3	subcluster	2379	1466	408	102439
CC06	50R3_70R3	mash90	2409	1469	378	102436
CC06	50R3_70R3	mash95	2547	1402	240	102503
CC06	50R3_70R3	genome	2718	824	69	103081
CC06	50R3_80R3_100R3	cluster	1781	1149	1006	102756
CC06	50R3_80R3_100R3	subcluster	2192	1111	595	102794
CC06	50R3_80R3_100R3	mash90	2205	1087	582	102818
CC06	50R3_80R3_100R3	mash95	2525	1128	262	102777
CC06	50R3_80R3_100R3	genome	2720	748	67	103157
CC06	50R3_80R3_120R3	cluster	1877	1247	910	102658
CC06	50R3_80R3_120R3	subcluster	2334	1269	453	102636
CC06	50R3_80R3_120R3	mash90	2303	1282	484	102623
CC06	50R3_80R3_120R3	mash95	2519	1277	268	102628
CC06	50R3_80R3_120R3	genome	2724	744	63	103161
CC06	50R3_80R3	cluster	1656	1223	1131	102682
CC06	50R3_80R3	subcluster	2279	1234	508	102671
CC06	50R3_80R3	mash90	2376	1243	411	102662
CC06	50R3_80R3	mash95	2536	1245	251	102660
CC06	50R3_80R3	genome	2719	816	68	103089
CC06	50R3_90R3_120R3	cluster	1802	1264	985	102641
CC06	50R3_90R3_120R3	subcluster	2234	1264	553	102641
CC06	50R3_90R3_120R3	mash90	2236	1232	551	102673
CC06	50R3_90R3_120R3	mash95	2477	1148	310	102757
CC06	50R3_90R3_120R3	genome	2725	736	62	103169
CC06	50R3_90R3	cluster	1721	1358	1066	102547
CC06	50R3_90R3	subcluster	2368	1391	419	102514
CC06	50R3_90R3	mash90	2354	1373	433	102532
CC06	50R3_90R3	mash95	2538	1280	249	102625
CC06	50R3_90R3	genome	2723	866	64	103039
CC06	50R6_100R6_120R6	cluster	1954	1242	833	102663
CC06	50R6_100R6_120R6	subcluster	2346	1235	441	102670
CC06	50R6_100R6_120R6	mash90	2306	1218	481	102687
CC06	50R6_100R6_120R6	mash95	2520	1105	267	102800
CC06	50R6_100R6_120R6	genome	2720	699	67	103206
CC06	50R6_100R6	cluster	2092	1353	695	102552
CC06	50R6_100R6	subcluster	2438	1419	349	102486
CC06	50R6_100R6	mash90	2411	1433	376	102472
CC06	50R6_100R6	mash95	2588	1406	199	102499
CC06	50R6_100R6	genome	2723	760	64	103145
CC06	50R6_120R6	cluster	1757	1365	1030	102540
CC06	50R6_120R6	subcluster	2308	1447	479	102458
CC06	50R6_120R6	mash90	2282	1367	505	102538
CC06	50R6_120R6	mash95	2545	1365	242	102540
CC06	50R6_120R6	genome	2721	754	66	103151
CC06	50R6_60R6	cluster	1948	1932	839	101973
CC06	50R6_60R6	subcluster	2397	1923	390	101982
CC06	50R6_60R6	mash90	2412	1913	375	101992
CC06	50R6_60R6	mash95	2588	1855	199	102050
CC06	50R6_60R6	genome	2713	911	74	102994
CC06	50R6_70R6_100R6	cluster	2088	1252	699	102653
CC06	50R6_70R6_100R6	subcluster	2422	1423	365	102482
CC06	50R6_70R6_100R6	mash90	2382	1432	405	102473
CC06	50R6_70R6_100R6	mash95	2591	1338	196	102567
CC06	50R6_70R6_100R6	genome	2721	761	66	103144
CC06	50R6_70R6_120R6	cluster	1861	1386	926	102519
CC06	50R6_70R6_120R6	subcluster	2308	1357	479	102548
CC06	50R6_70R6_120R6	mash90	2283	1322	504	102583
CC06	50R6_70R6_120R6	mash95	2510	1284	277	102621
CC06	50R6_70R6_120R6	genome	2716	732	71	103173
CC06	50R6_70R6_90R6	cluster	1610	1393	1177	102512
CC06	50R6_70R6_90R6	subcluster	2335	1469	452	102436
CC06	50R6_70R6_90R6	mash90	2267	1461	520	102444
CC06	50R6_70R6_90R6	mash95	2575	1375	212	102530
CC06	50R6_70R6_90R6	genome	2715	802	72	103103
CC06	50R6_70R6	cluster	1978	1508	809	102397
CC06	50R6_70R6	subcluster	2401	1542	386	102363
CC06	50R6_70R6	mash90	2396	1537	391	102368
CC06	50R6_70R6	mash95	2588	1429	199	102476
CC06	50R6_70R6	genome	2716	860	71	103045
CC06	50R6_80R6_100R6	cluster	2084	1283	703	102622
CC06	50R6_80R6_100R6	subcluster	2397	1238	390	102667
CC06	50R6_80R6_100R6	mash90	2379	1253	408	102652
CC06	50R6_80R6_100R6	mash95	2580	1248	207	102657
CC06	50R6_80R6_100R6	genome	2716	724	71	103181
CC06	50R6_80R6_120R6	cluster	1816	1273	971	102632
CC06	50R6_80R6_120R6	subcluster	2324	1321	463	102584
CC06	50R6_80R6_120R6	mash90	2273	1283	514	102622
CC06	50R6_80R6_120R6	mash95	2499	1199	288	102706
CC06	50R6_80R6_120R6	genome	2715	747	72	103158
CC06	50R6_80R6	cluster	1820	1385	967	102520
CC06	50R6_80R6	subcluster	2381	1433	406	102472
CC06	50R6_80R6	mash90	2368	1456	419	102449
CC06	50R6_80R6	mash95	2568	1534	219	102371
CC06	50R6_80R6	genome	2719	839	68	103066
CC06	50R6_90R6_120R6	cluster	1857	1373	930	102532
CC06	50R6_90R6_120R6	subcluster	2287	1342	500	102563
CC06	50R6_90R6_120R6	mash90	2230	1305	557	102600
CC06	50R6_90R6_120R6	mash95	2482	1251	305	102654
CC06	50R6_90R6_120R6	genome	2719	713	68	103192
CC06	50R6_90R6	cluster	1653	1582	1134	102323
CC06	50R6_90R6	subcluster	2397	1526	390	102379
CC06	50R6_90R6	mash90	2316	1494	471	102411
CC06	50R6_90R6	mash95	2567	1585	220	102320
CC06	50R6_90R6	genome	2717	850	70	103055
CC06	50R9_100R9_120R9	cluster	1796	1530	991	102375
CC06	50R9_100R9_120R9	subcluster	2226	1453	561	102452
CC06	50R9_100R9_120R9	mash90	2188	1441	599	102464
CC06	50R9_100R9_120R9	mash95	2506	1490	281	102415
CC06	50R9_100R9_120R9	genome	2713	903	74	103002
CC06	50R9_100R9	cluster	1985	1521	802	102384
CC06	50R9_100R9	subcluster	2228	1540	559	102365
CC06	50R9_100R9	mash90	2231	1533	556	102372
CC06	50R9_100R9	mash95	2506	1635	281	102270
CC06	50R9_100R9	genome	2721	971	66	102934
CC06	50R9_120R9	cluster	1823	1659	964	102246
CC06	50R9_120R9	subcluster	2227	1617	560	102288
CC06	50R9_120R9	mash90	2215	1581	572	102324
CC06	50R9_120R9	mash95	2383	1578	404	102327
CC06	50R9_120R9	genome	2712	927	75	102978
CC06	50R9_60R9	cluster	1740	1751	1047	102154
CC06	50R9_60R9	subcluster	2254	1789	533	102116
CC06	50R9_60R9	mash90	2229	1763	558	102142
CC06	50R9_60R9	mash95	2427	1732	360	102173
CC06	50R9_60R9	genome	2708	949	79	102956
CC06	50R9_70R9_100R9	cluster	1865	1458	922	102447
CC06	50R9_70R9_100R9	subcluster	2154	1481	633	102424
CC06	50R9_70R9_100R9	mash90	2139	1461	648	102444
CC06	50R9_70R9_100R9	mash95	2488	1265	299	102640
CC06	50R9_70R9_100R9	genome	2718	764	69	103141
CC06	50R9_70R9_120R9	cluster	1848	1641	939	102264
CC06	50R9_70R9_120R9	subcluster	2194	1578	593	102327
CC06	50R9_70R9_120R9	mash90	2218	1552	569	102353
CC06	50R9_70R9_120R9	mash95	2366	1557	421	102348
CC06	50R9_70R9_120R9	genome	2711	952	76	102953
CC06	50R9_70R9_90R9	cluster	1679	1421	1108	102484
CC06	50R9_70R9_90R9	subcluster	2129	1445	658	102460
CC06	50R9_70R9_90R9	mash90	2049	1430	738	102475
CC06	50R9_70R9_90R9	mash95	2368	1387	419	102518
CC06	50R9_70R9_90R9	genome	2711	895	76	103010
CC06	50R9_70R9	cluster	1666	1624	1121	102281
CC06	50R9_70R9	subcluster	2214	1729	573	102176
CC06	50R9_70R9	mash90	2169	1726	618	102179
CC06	50R9_70R9	mash95	2565	1568	222	102337
CC06	50R9_70R9	genome	2708	948	79	102957
CC06	50R9_80R9_100R9	cluster	1876	1210	911	102695
CC06	50R9_80R9_100R9	subcluster	2200	1315	587	102590
CC06	50R9_80R9_100R9	mash90	2193	1281	594	102624
CC06	50R9_80R9_100R9	mash95	2479	1248	308	102657
CC06	50R9_80R9_100R9	genome	2714	749	73	103156
CC06	50R9_80R9_120R9	cluster	1880	1377	907	102528
CC06	50R9_80R9_120R9	subcluster	2191	1378	596	102527
CC06	50R9_80R9_120R9	mash90	2183	1359	604	102546
CC06	50R9_80R9_120R9	mash95	2370	1383	417	102522
CC06	50R9_80R9_120R9	genome	2709	752	78	103153
CC06	50R9_80R9	cluster	1757	1757	1030	102148
CC06	50R9_80R9	subcluster	2173	1748	614	102157
CC06	50R9_80R9	mash90	2184	1713	603	102192
CC06	50R9_80R9	mash95	2511	1648	276	102257
CC06	50R9_80R9	genome	2713	894	74	103011
CC06	50R9_90R9_120R9	cluster	1682	1435	1105	102470
CC06	50R9_90R9_120R9	subcluster	2204	1377	583	102528
CC06	50R9_90R9_120R9	mash90	2196	1381	591	102524
CC06	50R9_90R9_120R9	mash95	2376	1334	411	102571
CC06	50R9_90R9_120R9	genome	2709	914	78	102991
CC06	50R9_90R9	cluster	1769	1618	1018	102287
CC06	50R9_90R9	subcluster	2212	1563	575	102342
CC06	50R9_90R9	mash90	2173	1514	614	102391
